iter	Logloss
0	0.6926389918
1	0.6918807961
2	0.6911034515
3	0.6904059535
4	0.6898390293
5	0.6889266741
6	0.6880105534
7	0.6873431899
8	0.6864902111
9	0.6855508557
10	0.684967442
11	0.6844299965
12	0.6837718052
13	0.6829915559
14	0.6823450304
15	0.681802852
16	0.6811447166
17	0.6805829761
18	0.6801550329
19	0.6795917886
20	0.6789981571
21	0.6785277284
22	0.6775850842
23	0.6771305037
24	0.6764374766
25	0.6757633577
26	0.6750396777
27	0.674448719
28	0.6737780398
29	0.6731596295
30	0.6723745307
31	0.6715936051
32	0.6705858386
33	0.6698479838
34	0.6692269127
35	0.6687982367
36	0.6682521809
37	0.6675999783
38	0.6671319407
39	0.6665913472
40	0.6661708172
41	0.6656826288
42	0.6652990223
43	0.664914146
44	0.6641005781
45	0.6637545934
46	0.66308223
47	0.6625043282
48	0.6620911977
49	0.6615764421
50	0.6606388401
51	0.6598743946
52	0.6594324416
53	0.6587658874
54	0.6584004689
55	0.6578563799
56	0.6572876172
57	0.6565582746
58	0.6559629765
59	0.655247215
60	0.6547823771
61	0.6544711403
62	0.654125178
63	0.6535644202
64	0.6528344811
65	0.6518371591
66	0.6511216119
67	0.6506329699
68	0.6501635431
69	0.6495255349
70	0.6490974854
71	0.6487942686
72	0.6483587969
73	0.6479262417
74	0.6474026773
75	0.6466641454
76	0.6460254831
77	0.6456848009
78	0.6452995004
79	0.6445830572
80	0.6442801201
81	0.6436645134
82	0.6432306182
83	0.6428266119
84	0.6424000527
85	0.6420919974
86	0.6418117949
87	0.6412445751
88	0.6406327061
89	0.6401670949
90	0.6397456343
91	0.6391065663
92	0.6384875722
93	0.6377693024
94	0.6373367294
95	0.6366949227
96	0.6362252866
97	0.6357421362
98	0.6353387199
99	0.6348563555
100	0.6343756539
101	0.6335174184
102	0.6328729542
103	0.6324061287
104	0.6317334018
105	0.6312578755
106	0.6305494285
107	0.6298063647
108	0.6292746621
109	0.6289400223
110	0.6286340935
111	0.6278702547
112	0.6274262089
113	0.6270211532
114	0.6264690324
115	0.6260497361
116	0.6256844462
117	0.6255772767
118	0.6250766549
119	0.6248102536
120	0.6242256819
121	0.6238924217
122	0.6233437066
123	0.6227722731
124	0.6222255432
125	0.6216899666
126	0.621464286
127	0.6210609817
128	0.6202388729
129	0.6198183786
130	0.6196047672
131	0.6190736281
132	0.618633074
133	0.6184458323
134	0.6181353162
135	0.6175716221
136	0.6170878136
137	0.6166823573
138	0.6162497555
139	0.6156046728
140	0.6152630986
141	0.6149174866
142	0.6145586355
143	0.6140339622
144	0.6136085907
145	0.6134510462
146	0.6129296372
147	0.612511153
148	0.6119245095
149	0.6115633386
150	0.6111204904
151	0.6107685286
152	0.6103442958
153	0.6098508308
154	0.6094335548
155	0.6088406565
156	0.608304631
157	0.6079754591
158	0.6075025155
159	0.6070243443
160	0.6065519367
161	0.6061192351
162	0.6053838519
163	0.6049118327
164	0.6044454592
165	0.6040771249
166	0.6037375419
167	0.6033449167
168	0.6028286743
169	0.6024664104
170	0.6021262206
171	0.6018031658
172	0.6012100691
173	0.600664533
174	0.6002387768
175	0.5998400451
176	0.5994199013
177	0.5988175629
178	0.5984280341
179	0.5981045278
180	0.5976094528
181	0.5971972779
182	0.5968159078
183	0.5963753751
184	0.5961955394
185	0.5956843012
186	0.5954000637
187	0.5947751792
188	0.5944229017
189	0.5938943173
190	0.593479273
191	0.5930449565
192	0.5925046732
193	0.5922150043
194	0.5919207442
195	0.5915563183
196	0.5911016517
197	0.590797948
198	0.590442959
199	0.5899623066
200	0.5896408059
201	0.5889854991
202	0.5885465195
203	0.5881667584
204	0.5877598012
205	0.5874377858
206	0.587082498
207	0.5866662348
208	0.5860711089
209	0.5857815695
210	0.5854141856
211	0.5850806587
212	0.5847642073
213	0.5845002647
214	0.584307475
215	0.5837184698
216	0.5834834771
217	0.5829165123
218	0.582625439
219	0.5822362719
220	0.5818699697
221	0.5815635527
222	0.5810268996
223	0.580648261
224	0.5802413955
225	0.5798120674
226	0.5794641422
227	0.5791555169
228	0.57889754
229	0.5786671115
230	0.5782622432
231	0.5779509079
232	0.5774594834
233	0.5770200879
234	0.5765087967
235	0.5758904382
236	0.57528466
237	0.5749846329
238	0.5746277106
239	0.5738401655
240	0.5733770747
241	0.5729139025
242	0.5727801749
243	0.5724352851
244	0.5719179699
245	0.5717848677
246	0.5714730805
247	0.5710554561
248	0.5707621199
249	0.5704827884
250	0.5698798187
251	0.5695442682
252	0.5692866054
253	0.5689031359
254	0.5687400002
255	0.5683183491
256	0.5680348424
257	0.5675892395
258	0.5673302145
259	0.5669469678
260	0.566699236
261	0.5663806562
262	0.5660172997
263	0.5656375122
264	0.5652546155
265	0.5649193173
266	0.5644747046
267	0.5642734167
268	0.5640060462
269	0.5636624462
270	0.5632890618
271	0.5629760088
272	0.5627367558
273	0.5621503829
274	0.561923568
275	0.5615862932
276	0.5612829264
277	0.5608187584
278	0.5603187705
279	0.5599716208
280	0.5595494064
281	0.5592198782
282	0.5588591248
283	0.5585512369
284	0.558200485
285	0.5579271043
286	0.5575620457
287	0.557173657
288	0.5567969708
289	0.5564915131
290	0.5559481052
291	0.5554154284
292	0.5551660802
293	0.5548197678
294	0.5545271691
295	0.5540340779
296	0.5535776345
297	0.5533225716
298	0.5530661768
299	0.5525516451
300	0.5521311101
301	0.5518510122
302	0.5513343044
303	0.5506496211
304	0.5503830414
305	0.550174289
306	0.549665975
307	0.5492480135
308	0.5486035746
309	0.5481984336
310	0.547640352
311	0.5474357686
312	0.5470938088
313	0.5469042237
314	0.5466237704
315	0.5462250199
316	0.5458764261
317	0.5454528405
318	0.5451305132
319	0.5449468246
320	0.5446463409
321	0.5443876399
322	0.5440425029
323	0.543773632
324	0.5433864864
325	0.5431071921
326	0.5427850116
327	0.5423586165
328	0.5422414769
329	0.5418785608
330	0.5414394098
331	0.5412254274
332	0.5408488485
333	0.5405300676
334	0.5400984874
335	0.539901164
336	0.5396188725
337	0.5392401706
338	0.5389823233
339	0.5386158911
340	0.5383113731
341	0.5379851234
342	0.5374693322
343	0.5370802832
344	0.5366947631
345	0.5364326714
346	0.5362275063
347	0.5359218995
348	0.5356852799
349	0.5354336624
350	0.5351189302
351	0.534930765
352	0.5346995204
353	0.53442389
354	0.5339983957
355	0.5337822913
356	0.5334893917
357	0.5332377933
358	0.5329765535
359	0.5327874757
360	0.5323683725
361	0.532074244
362	0.5317310839
363	0.5314733254
364	0.5312274191
365	0.5310089969
366	0.530830404
367	0.5306372747
368	0.5302828874
369	0.5300124881
370	0.5295925039
371	0.5291454127
372	0.5287228301
373	0.5284421844
374	0.5280552179
375	0.5276261581
376	0.5274335594
377	0.5272169396
378	0.5269603598
379	0.5268066953
380	0.5265719829
381	0.5262943049
382	0.525771901
383	0.5254875649
384	0.525067152
385	0.5247514804
386	0.5244664667
387	0.5239215187
388	0.5234605708
389	0.5228127518
390	0.5224546778
391	0.5222043252
392	0.5218181478
393	0.5214066433
394	0.5211931739
395	0.5209102013
396	0.5206289873
397	0.5201362252
398	0.5197729718
399	0.5194857744
400	0.5192603217
401	0.5188286524
402	0.5185129652
403	0.5181893862
404	0.5179625475
405	0.5174820295
406	0.5169877475
407	0.5167050854
408	0.516450089
409	0.5159003746
410	0.515354935
411	0.5151606501
412	0.5148777648
413	0.5145829582
414	0.5141427862
415	0.5138564432
416	0.5135612466
417	0.5132872282
418	0.5130621412
419	0.5127418193
420	0.5124801471
421	0.5121348309
422	0.5117377299
423	0.5114765091
424	0.5110381144
425	0.5109085631
426	0.510602417
427	0.5103947473
428	0.5098877708
429	0.5094929687
430	0.5089713517
431	0.5086149334
432	0.5084406668
433	0.5082401021
434	0.5078243984
435	0.5074686875
436	0.5071326427
437	0.5069713341
438	0.5067532592
439	0.5064536493
440	0.5060822956
441	0.5058565783
442	0.5054548305
443	0.5050345868
444	0.5046640204
445	0.5043517678
446	0.5039108234
447	0.5036301685
448	0.5032747573
449	0.5030134139
450	0.5026909178
451	0.5025584816
452	0.5022406137
453	0.5018944365
454	0.5016410913
455	0.5014276549
456	0.5009179573
457	0.5006097324
458	0.5003083711
459	0.5000608778
460	0.4997267601
461	0.4994183378
462	0.4989721376
463	0.4986855715
464	0.4983526639
465	0.4980741905
466	0.4977230077
467	0.4975657667
468	0.4973984877
469	0.497116929
470	0.496597206
471	0.4962516699
472	0.4958672116
473	0.4956801759
474	0.4954074548
475	0.4951030429
476	0.4947353152
477	0.4945914905
478	0.4943721052
479	0.494144546
480	0.4938919529
481	0.4934040597
482	0.4930015689
483	0.492660282
484	0.492449229
485	0.4921743557
486	0.4919093435
487	0.4915294843
488	0.4911902046
489	0.4908708388
490	0.4905528965
491	0.4903273123
492	0.4900278643
493	0.4898434632
494	0.4895993696
495	0.4894695677
496	0.4892300655
497	0.4889322651
498	0.488689418
499	0.4881866567
500	0.487910678
501	0.4877715643
502	0.4875372902
503	0.4873606429
504	0.4870529465
505	0.4867488571
506	0.4863555067
507	0.4860912746
508	0.4856958505
509	0.4854681498
510	0.4853157705
511	0.4850570763
512	0.484888536
513	0.4846454825
514	0.4843889607
515	0.4840379592
516	0.4837905972
517	0.4835797034
518	0.4832387594
519	0.4828427928
520	0.4825812378
521	0.4821869267
522	0.4818828868
523	0.4815541203
524	0.4813362338
525	0.4811811964
526	0.4809467303
527	0.4807036307
528	0.4803557304
529	0.4800928529
530	0.4797750481
531	0.4794478348
532	0.4790441918
533	0.4785217983
534	0.4782633784
535	0.4779292949
536	0.4777673314
537	0.4774571772
538	0.4772268382
539	0.4770680874
540	0.4768276593
541	0.4765895185
542	0.4762927248
543	0.4759674423
544	0.4756692083
545	0.4755359709
546	0.4753804406
547	0.4750200573
548	0.4748401789
549	0.4746137156
550	0.4743707063
551	0.474069222
552	0.4738936368
553	0.4735425204
554	0.4731817685
555	0.4729346085
556	0.472592238
557	0.4723310083
558	0.4721091633
559	0.4718012995
560	0.4715019787
561	0.4711365135
562	0.4706640135
563	0.4704545485
564	0.4702636183
565	0.4700401217
566	0.4698473974
567	0.4696163544
568	0.4694928168
569	0.4691640758
570	0.4689951115
571	0.468671802
572	0.4685212343
573	0.4682414839
574	0.4680635585
575	0.4678519754
576	0.4675605854
577	0.4672155778
578	0.4669051576
579	0.4664896589
580	0.4662623608
581	0.4661285492
582	0.4658508403
583	0.4654553991
584	0.4651610968
585	0.4648798014
586	0.464706983
587	0.4643220686
588	0.4640714422
589	0.4639127597
590	0.4637416177
591	0.4635576597
592	0.4634614012
593	0.4631928577
594	0.4630328068
595	0.4629031642
596	0.4624610596
597	0.4621832301
598	0.4619456645
599	0.4616471956
600	0.4613290254
601	0.4611452848
602	0.460975701
603	0.4607892382
604	0.4605486018
605	0.4603510583
606	0.4600898639
607	0.460015363
608	0.4595798196
609	0.4593906306
610	0.4590480846
611	0.4587531668
612	0.458651414
613	0.4585106322
614	0.4581748158
615	0.4578556962
616	0.4576439874
617	0.457319067
618	0.4570988589
619	0.4569566473
620	0.4566622448
621	0.4563874532
622	0.4561210832
623	0.455773891
624	0.4555755101
625	0.4553912362
626	0.4548795004
627	0.4546936187
628	0.4545205183
629	0.4542068758
630	0.4540090431
631	0.4535734112
632	0.4533296642
633	0.4530747672
634	0.4527743823
635	0.4524149417
636	0.4520056381
637	0.4518003834
638	0.4515128347
639	0.4513401933
640	0.4511291985
641	0.450985993
642	0.4506908634
643	0.4504981938
644	0.4501113562
645	0.4497123207
646	0.4494628473
647	0.449178922
648	0.448988721
649	0.4486646995
650	0.4483156421
651	0.4480412224
652	0.4477779222
653	0.4474511178
654	0.4472052446
655	0.4469289659
656	0.4465320181
657	0.4461853315
658	0.4460380499
659	0.4457669523
660	0.4454036789
661	0.4451348661
662	0.4450006625
663	0.4447180951
664	0.444365854
665	0.4441652394
666	0.4439642774
667	0.4435678002
668	0.4433634292
669	0.4431494199
670	0.4428326499
671	0.4426195972
672	0.4421255056
673	0.441940518
674	0.4416768646
675	0.4414009782
676	0.4411583869
677	0.4407048627
678	0.440491248
679	0.4401598628
680	0.4400131753
681	0.4398358653
682	0.4396925531
683	0.4395388801
684	0.439364931
